regiao;data;turno;praca;subpraca;logados;slots;pct_logados;horario_coleta;modal
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;PERDIZES - SP;1;56;1.8%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;SAO PAULO - JARDINS - (MINI BTU FD);1;3;33.3%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR 18h30-22h29;SP DEDICADO;FE- Vip Sushi Itaquera | HUB Virtual;0;2;0.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;SAO PAULO - BROOKLIN - (MINI BTU FD);2;2;100.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;PERDIZES - SP;13;56;23.2%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;INTERLAGOS - SP;4;10;40.0%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;MOOCA - SP;10;42;23.8%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;ACLIMACAO - SP;5;40;12.5%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;ARICANDUVA - SP;5;11;45.5%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;CACHOEIRINHA - SP;13;69;18.8%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;ITAIM E BROOKLIN E INDIANAPOLIS - SP;32;132;24.2%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;JABAQUARA E SANTO AMARO - SP;5;37;13.5%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;CIDADE DAS FLORES - SP;16;49;32.7%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;MANDAQUI - SP;33;109;30.3%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;PANAMBY E VILA SONIA - SP;22;85;25.9%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;VILA GUILHERMINA - SP;3;14;21.4%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;TATUAPE - SP;14;45;31.1%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;VILA JAGUARA E JAGUARA - SP;20;51;39.2%;2026-07-16 18:05;MOTORCYCLE
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;VILA GUILHERMINA - SP;4;14;28.6%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;VILA JAGUARA E JAGUARA - SP;7;51;13.7%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;ACLIMACAO - SP;1;40;2.5%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;ARICANDUVA - SP;1;11;9.1%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;MANDAQUI - SP;45;109;41.3%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;CACHOEIRINHA - SP;13;69;18.8%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;CIDADE DAS FLORES - SP;3;49;6.1%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;INTERLAGOS - SP;3;10;30.0%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;ITAIM E BROOKLIN E INDIANAPOLIS - SP;16;132;12.1%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;JABAQUARA E SANTO AMARO - SP;4;37;10.8%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;MOOCA - SP;5;42;11.9%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;PANAMBY E VILA SONIA - SP;14;85;16.5%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;PINHEIROS - SP;7;97;7.2%;2026-07-16 18:05;Todos
Sao Paulo;2026-07-16;JANTAR CPS 18H30-21H29;SAO PAULO;TATUAPE - SP;1;45;2.2%;2026-07-16 18:05;Todos
Rio - Madureira;2026-07-16;TARDE CPS;RIO - ZONA SUL;VILA ISABEL E SAO CRISTOVAO;121;130;93.1%;2026-07-16 18:05;Todos
Rio - Madureira;2026-07-16;TARDE CPS;RIO - ZONA SUL;Rio Zona Sul - Centro;1;5;20.0%;2026-07-16 18:05;MOTORCYCLE
